institution,source_url,canonical_instrument,canonical_detail,notes
IDB Invest,https://idbinvest.org/en/projects/financial-inclusion-social-bond,Debt,,"Two bond issues, of which (i) is explicitly 'a subordinated social bond'; the published text is truncated before describing (ii). Part-subordinated and part-unknown, so deliberately unmapped. NOW MAPPED to family Debt: it is certainly debt. The DETAIL stays blank because issue (i) is subordinated and (ii) is not described - mixed, so not stated."
IDB Invest,https://idbinvest.org/en/projects/promerica-cr-sustainable-bond-guarantee,Guarantee,,'The proposed transaction consists of a Guarantee Program ... to support a Sustainable Bond issuance'. Same structure as the Banco Sol PCG row: the bond belongs to the client.
IDB Invest,https://idbinvest.org/en/projects/movistar-peru-financing-handsets-and-digital-services,Debt,receivables_facility,A receivables discount facility. Deliberately unmapped - see the AES El Salvador row. NOW MAPPED as a receivables facility - see the AES El Salvador row.
IDB Invest,https://idbinvest.org/en/projects/credit-project-fund,,,"'Subscription of quotas of an investment fund' named the Credit Project Fund. Deliberately unmapped, as for the other credit funds."
IDB Invest,https://idbinvest.org/en/projects/konfio,Guarantee,,Source states IDB Invest 'is considering granting a guarantee'.
IDB Invest,https://idbinvest.org/en/projects/project-dcm-13,Debt,,Private placement of a bond. Seniority not stated.
IDB Invest,https://idbinvest.org/en/projects/banistmo-social-bond-gender-focus,Debt,,Subscription of a social bond. Seniority not stated.
IDB Invest,https://idbinvest.org/en/projects/project-dcm-10,Debt,,Subscription to a sustainable bond issue. Seniority not stated.
IDB Invest,https://idbinvest.org/en/projects/mabe,Debt,receivables_facility,An uncommitted revolving payment-services facility for the client's suppliers. Not a loan and nothing ranks. Deliberately unmapped - see the AES El Salvador row. NOW MAPPED as a receivables facility - see the AES El Salvador row.
IDB Invest,https://idbinvest.org/en/projects/bice-sustainable-bond,Debt,,Investment in a sustainable bond issuance. Seniority not stated.
IDB Invest,https://idbinvest.org/en/projects/banco-pichincha-green-bond,Debt,,Subscription to a green bond issuance. Seniority not stated.
IDB Invest,https://idbinvest.org/en/projects/prodigy-finance-student-loans,Debt,,'The issuance of debt securities under a private placement'. Seniority not stated.
